flows,packets,bytes
118417,1717391,1214026325
103557,1746522,1231172873
97460,1611190,1078656112
95094,1641213,1112436014
93638,1569370,1082690869
81745,1283819,840159455
98656,1363317,885291817
97173,1793390,1284212333
85542,1420244,969125862
88076,1335515,909313824
95138,1235742,802430803
98415,1401704,908913574
101232,1212428,728546606
107441,1653102,1179775961
89021,1792132,1241109165
89388,2013046,1548970336
89662,1573294,1117383748
86811,1585544,1116743721
88681,1347874,909809410
81502,1031825,650589110
93289,1191246,769837699
93676,1161248,716020732
79946,1381964,971125474
79354,1130926,734508299
85401,1265516,862232431
96734,1570651,1133824394
80297,1186762,790332234
82311,1163489,768571493
78777,1016861,650479841
84042,1069802,640613656
76705,1044834,661412303
78629,1148836,749964070
91317,1504692,985952209
63166,712254,427147795
84168,1259229,791054483
92459,1295263,759484143
96632,1375336,865699800
99169,1070072,571434117
81517,1620591,1129876073
82554,1359719,844226266
102518,1344522,766894583
89240,1530250,988094492
81499,1573490,1036099896
79532,1473768,970207765
74413,1196588,717422957
86340,1219641,704564788
76121,1184679,674396412
71894,1223735,713192928
77296,1209161,716103936
76993,1079221,638850929
92170,1256287,751019765
78162,1153056,687310375
78603,1252283,753030142
65890,1052806,635447817
65192,1117279,690986808
76687,1009304,599076570
62116,1094584,678509416
74075,957238,638704658
74091,1079904,626637508
91352,1297629,726865158
83783,1038548,573723605
83865,1280692,781590246
104519,1433910,950527653
74871,1003407,582501838
81918,1179529,674599672
80615,1108221,660863480
91878,1160044,677822279
101510,1148879,631430939
95953,1114231,626663921
87091,1127968,647350501
88127,1271010,796299985
96588,1280605,772517731
88252,1147568,676291302
95648,1314784,788540163
89233,1304213,788988803
96646,1345987,857351565
96846,1380408,810916869
92310,1533899,982265931
95639,1312342,847637387
102493,1646691,1063723212
88216,1468895,912129540
100636,1403378,838647249
106597,1316327,745370336
108095,1708346,1111096384
126209,1755295,1080779596
124417,1832568,1131257420
118180,2028583,1324959243
118845,2045675,1211523914
138443,2224615,1362796052
135066,2248879,1376971561
143595,2222410,1380144833
148737,2450280,1601541114
143088,2835039,1947925015
160625,2868411,1925503052
188235,3709332,2572921243
197744,4014047,2754433743
249747,4718944,3246184287
288504,6073754,1969396
299473,5892180,4035949960
332295,7015984,708247480
356349,8304692,1618073851
402679,8991060,2189230735
462673,10663812,3427901763
515149,12223956,274040864
549534,15099008,2734193889
568481,14242511,2126843323
584788,14802601,2343459334
635495,15712839,2978465676
689758,17654263,151154973
761441,19736549,1535136921
857538,21059431,2212420271
873495,24062496,545575446
922031,23367194,4165157952
949321,23306819,3887188172
950660,23071471,3827468232
958493,24090378,217502497
1036294,27062754,2682231110
1087298,23849045,32119947
875980,21532988,2300049650
955217,23927063,35020380
