flows,packets,bytes
917288,23231086,3994448264
956940,24128041,227247421
1165477,27801090,3468460429
1004652,24238762,411354126
1006355,23693905,193551475
1205427,26000658,1981974887
979476,22749515,3506388306
1064104,25007931,1308968920
1188556,25074894,973434939
1008487,23680328,4142158117
1131703,25646207,1393717785
1316989,31603702,2008282251
1024549,23861656,139010703
1040442,24443262,1278915286
1302091,35963486,1262876034
1075526,25422022,1322751129
1288810,29089634,4059086766
1079114,25146829,904011137
1101712,25778058,1326340651
1286726,28165910,3629839165
1301083,29856019,973396876
1003270,24785483,1168287140
880850,21098606,2726138715
910321,24250869,908877830
814173,21443592,2794930950
795457,21112569,2553706626
789999,21225641,2906653424
747368,20095675,1655936685
741697,19077840,862846847
758269,19002608,831140708
737148,19104574,1006767420
773882,19561311,1317190542
773194,20253356,1946888284
792484,20601536,2269934641
828056,20335966,1928915282
861245,21844902,3083112952
885746,21184914,2551386371
951944,23372466,4087532786
1027758,24216980,649039337
1248868,26734755,2237982115
1005763,23407675,4031961592
1038873,24486646,289506019
1279451,29235787,392680951
1047964,26796772,2638259804
1058621,25873543,1491308601
1268655,29934138,942897767
1302280,33894842,3931204608
1070074,24649222,340561266
1307255,28788466,3885061643
1032328,23192367,3662207459
1023516,24826349,882710670
1034638,24003586,160779076
962570,24338856,406260271
917231,23421124,3903322515
899122,21931340,2423360960
1123507,24132888,368295874
1035580,22369313,2722970275
1019528,23247486,3244469243
1269085,28091507,3336609775
1047689,25867473,1135463126
1053935,26491171,2322166773
1249173,28919021,4096686096
1028646,25822630,1645559362
984648,24228431,309284331
919157,23208168,3748712406
772487,20464806,2334352894
624882,15818504,3122585153
543549,13152625,1025468288
486915,12089501,26151573
433077,10789366,3608951028
428132,9308803,2245770027
398036,9730458,2766973278
388337,11273830,2938234190
372696,10885230,2675783309
372497,11888606,3438549417
343226,10505111,2505146705
350421,9658699,1413381815
318212,8821255,930235446
284703,8426910,687052140
289469,8588669,814456937
266665,6342727,432927058
245390,5148871,3693310561
243499,5457925,3949119517
241747,5316568,3788877818
237269,5472399,3969323927
218548,4995489,3599077983
228818,5211218,3837902417
212022,4452552,3083358106
214589,4841147,3649195381
216458,4653558,3304714931
213660,4791006,3469955836
226427,4866359,3387392512
191041,3815467,2512770624
185622,4276199,3047535252
194958,4862468,3549363661
192067,4166233,2892339201
193858,4338438,2972506605
184306,4284626,2941132559
181531,4005371,2873626996
173384,3557320,2434513009
171441,3311770,2253857354
168942,3366142,2319950664
175097,3019019,2030395730
189267,3538525,2412732824
172767,3342149,2267960700
175811,3393221,2404356237
168918,3292534,2255039026
181989,3479063,2397816667
185639,3623754,2429647222
168254,3487357,2358093706
167890,3669241,2566830233
174495,3577600,2483340980
176074,3688859,2514543221
167770,3685407,2577343630
176269,4076207,2780342903
170389,3897331,2717985445
183182,4483668,3227615841
188836,4243277,2933763162
181068,3664665,2398195541
172505,4086020,2819796267
177367,4316779,3023062095
188330,4274296,2907948605
179685,3967999,2717268756
164733,3675856,2563241225
205400,4024857,2787201758
174750,4126547,2950288907
168658,4104658,2973815627
177310,3966550,2762743500
200241,4166648,2926937941
191816,3907746,2823418048
192274,3801570,2627968943
180066,3774484,2702052703
169153,3560205,2516433607
168941,3590781,2536081959
168639,3633781,2594080687
163530,3989755,2992458475
160190,4047458,2957331860
157830,3560360,2525261572
159688,3659120,2527362672
160219,3658296,2628350998
172722,3610754,2490846398
161284,3402568,2382733750
163394,3199429,2205069695
167035,3523839,2480324023
163453,3216314,2211218970
162891,3869091,2863730797
175991,3620189,2643449935
181112,4172342,3169619916
150525,3572151,2589493887
147122,3515229,2556637192
148861,3062624,2114389638
154309,2982450,2073870784
145244,3119004,2212917299
149249,3260055,2341804640
134391,3030003,2164562974
141128,3040308,2130960665
143152,2801145,1980300459
141224,3006954,2131099675
130988,3066773,2264721207
127205,2952672,2094170714
125516,2593502,1834025620
121620,2833955,2057853188
128290,2790473,1916087670
124734,2584435,1821336642
137059,2814127,1925295349
136531,2945150,2094893433
120990,2922551,2126892181
123094,2516017,1714852780
